id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
R9jRdYgRsS1oDQdP-DICxA,panda-express-chicago-26,Panda Express,https://s3-media1.fl.yelpcdn.com/bphoto/3XQBVYUmKSOixZt4Vd-woA/o.jpg,False,https://www.yelp.com/biz/panda-express-chicago-26?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,40,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",3.0,"{'latitude': 41.8856035299199, 'longitude': -87.626606784761}","['delivery', 'pickup']",$,"{'address1': '180 N. Wabash  Suite 184', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60601', 'country': 'US', 'state': 'IL', 'display_address': ['180 N. Wabash  Suite 184', 'Chicago, IL 60601']}",+13124191543,(312) 419-1543,389.72826612323684
HOKtJ2vkBwM9rjzslC_Eng,bubblelicious-chicago,Bubblelicious,https://s3-media2.fl.yelpcdn.com/bphoto/xoSNpdC9nGDu0XeQR58mmw/o.jpg,False,https://www.yelp.com/biz/bubblelicious-chicago?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,1,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",5.0,"{'latitude': 41.88539, 'longitude': -87.62414}",[],"{'address1': '179 Michigan Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60601', 'country': 'US', 'state': 'IL', 'display_address': ['179 Michigan Ave', 'Chicago, IL 60601']}",+13127295359,(312) 729-5359,499.58001400670844
SfPpG-v8K-t6tAr4USL-mw,vivi-bubble-tea-chicago,Vivi Bubble Tea,https://s3-media4.fl.yelpcdn.com/bphoto/RjoWTqw70PuI7gi_TaQXOQ/o.jpg,False,https://www.yelp.com/biz/vivi-bubble-tea-chicago?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,299,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.0,"{'latitude': 41.877308, 'longitude': -87.627432}","['delivery', 'pickup']",$,"{'address1': '333 S State St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60604', 'country': 'US', 'state': 'IL', 'display_address': ['333 S State St', 'Chicago, IL 60604']}",+13124311150,(312) 431-1150,362.67368745390957
X4CsYKx-4BOiaUGa-FG5Zg,thai-spoon-and-sushi-chicago-2,Thai Spoon & Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/GfNZCQHWvksBDHZjzqwt4g/o.jpg,False,https://www.yelp.com/biz/thai-spoon-and-sushi-chicago-2?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,253,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",3.5,"{'latitude': 41.87425, 'longitude': -87.62548}","['delivery', 'pickup']",$$,"{'address1': '601 S Wabash Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60605', 'country': 'US', 'state': 'IL', 'display_address': ['601 S Wabash Ave', 'Chicago, IL 60605']}",+13124279470,(312) 427-9470,662.0859538675137
7h3NRC53zt4llWs7Jag7sg,mycha-chicago-2,Mycha,https://s3-media2.fl.yelpcdn.com/bphoto/2kJNGFibJHC4hbJg-kj7zQ/o.jpg,False,https://www.yelp.com/biz/mycha-chicago-2?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,18,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.5,"{'latitude': 41.8834734, 'longitude': -87.6282109}",['delivery'],"{'address1': '108 N State St', 'address2': 'Block 37 Pedway', 'address3': None, 'city': 'Chicago', 'zip_code': '60602', 'country': 'US', 'state': 'IL', 'display_address': ['108 N State St', 'Block 37 Pedway', 'Chicago, IL 60602']}",+18472608387,(847) 260-8387,424.75111970007237
R9jRdYgRsS1oDQdP-DICxA,panda-express-chicago-26,Panda Express,https://s3-media1.fl.yelpcdn.com/bphoto/3XQBVYUmKSOixZt4Vd-woA/o.jpg,False,https://www.yelp.com/biz/panda-express-chicago-26?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,40,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",3.0,"{'latitude': 41.8856035299199, 'longitude': -87.626606784761}","['delivery', 'pickup']",$,"{'address1': '180 N. Wabash  Suite 184', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60601', 'country': 'US', 'state': 'IL', 'display_address': ['180 N. Wabash  Suite 184', 'Chicago, IL 60601']}",+13124191543,(312) 419-1543,604.2324439173619
HOKtJ2vkBwM9rjzslC_Eng,bubblelicious-chicago,Bubblelicious,https://s3-media2.fl.yelpcdn.com/bphoto/xoSNpdC9nGDu0XeQR58mmw/o.jpg,False,https://www.yelp.com/biz/bubblelicious-chicago?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,1,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",5.0,"{'latitude': 41.88539, 'longitude': -87.62414}",[],"{'address1': '179 Michigan Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60601', 'country': 'US', 'state': 'IL', 'display_address': ['179 Michigan Ave', 'Chicago, IL 60601']}",+13127295359,(312) 729-5359,573.8326164781679
SfPpG-v8K-t6tAr4USL-mw,vivi-bubble-tea-chicago,Vivi Bubble Tea,https://s3-media4.fl.yelpcdn.com/bphoto/RjoWTqw70PuI7gi_TaQXOQ/o.jpg,False,https://www.yelp.com/biz/vivi-bubble-tea-chicago?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,299,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.0,"{'latitude': 41.877308, 'longitude': -87.627432}","['pickup', 'delivery']",$,"{'address1': '333 S State St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60604', 'country': 'US', 'state': 'IL', 'display_address': ['333 S State St', 'Chicago, IL 60604']}",+13124311150,(312) 431-1150,91.34267683112824
X4CsYKx-4BOiaUGa-FG5Zg,thai-spoon-and-sushi-chicago-2,Thai Spoon & Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/GfNZCQHWvksBDHZjzqwt4g/o.jpg,False,https://www.yelp.com/biz/thai-spoon-and-sushi-chicago-2?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,253,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",3.5,"{'latitude': 41.87425, 'longitude': -87.62548}","['pickup', 'delivery']",$$,"{'address1': '601 S Wabash Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60605', 'country': 'US', 'state': 'IL', 'display_address': ['601 S Wabash Ave', 'Chicago, IL 60605']}",+13124279470,(312) 427-9470,441.2750927224229
hg7GTftFbQG2Y6jz8u_Olg,b-i-tea-and-dim-sum-chicago,B.I.Tea & Dim Sum,https://s3-media2.fl.yelpcdn.com/bphoto/LF5qLx143ma9ZCZe_Ef6Lw/o.jpg,False,https://www.yelp.com/biz/b-i-tea-and-dim-sum-chicago?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,84,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'dimsum', 'title': 'Dim Sum'}]",4.0,"{'latitude': 41.8839695, 'longitude': -87.6410747}","['pickup', 'delivery']",$,"{'address1': '131 N Clinton St', 'address2': '', 'address3': 'Chicago French Market', 'city': 'Chicago', 'zip_code': '60661', 'country': 'US', 'state': 'IL', 'display_address': ['131 N Clinton St', 'Chicago French Market', 'Chicago, IL 60661']}",+13129645195,(312) 964-5195,1256.3223327664361
7h3NRC53zt4llWs7Jag7sg,mycha-chicago-2,Mycha,https://s3-media2.fl.yelpcdn.com/bphoto/2kJNGFibJHC4hbJg-kj7zQ/o.jpg,False,https://www.yelp.com/biz/mycha-chicago-2?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,18,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.5,"{'latitude': 41.8834734, 'longitude': -87.6282109}",['delivery'],"{'address1': '108 N State St', 'address2': 'Block 37 Pedway', 'address3': None, 'city': 'Chicago', 'zip_code': '60602', 'country': 'US', 'state': 'IL', 'display_address': ['108 N State St', 'Block 37 Pedway', 'Chicago, IL 60602']}",+18472608387,(847) 260-8387,637.51785918764
R9jRdYgRsS1oDQdP-DICxA,panda-express-chicago-26,Panda Express,https://s3-media1.fl.yelpcdn.com/bphoto/3XQBVYUmKSOixZt4Vd-woA/o.jpg,False,https://www.yelp.com/biz/panda-express-chicago-26?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,40,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",3.0,"{'latitude': 41.8856035299199, 'longitude': -87.626606784761}","['pickup', 'delivery']",$,"{'address1': '180 N. Wabash  Suite 184', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60601', 'country': 'US', 'state': 'IL', 'display_address': ['180 N. Wabash  Suite 184', 'Chicago, IL 60601']}",+13124191543,(312) 419-1543,886.3358391486129
buLYCQyqe_tgKyuclCFBug,tea-chicago,TEA%,https://s3-media1.fl.yelpcdn.com/bphoto/j0X3gU_I_Znq1W0JNKfrqA/o.jpg,False,https://www.yelp.com/biz/tea-chicago?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,5,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.5,"{'latitude': 41.8691185, 'longitude': -87.6255865}","['pickup', 'delivery']","{'address1': '57 E 11th St', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60605', 'country': 'US', 'state': 'IL', 'display_address': ['57 E 11th St', 'Chicago, IL 60605']}",+13124880822,(312) 488-0822,986.7532550474407
HOKtJ2vkBwM9rjzslC_Eng,bubblelicious-chicago,Bubblelicious,https://s3-media2.fl.yelpcdn.com/bphoto/xoSNpdC9nGDu0XeQR58mmw/o.jpg,False,https://www.yelp.com/biz/bubblelicious-chicago?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,1,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",5.0,"{'latitude': 41.88539, 'longitude': -87.62414}",[],"{'address1': '179 Michigan Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60601', 'country': 'US', 'state': 'IL', 'display_address': ['179 Michigan Ave', 'Chicago, IL 60601']}",+13127295359,(312) 729-5359,907.9558668401042
SKto9k1kKZV01Snrb_UCsQ,hello-jasmine-chicago-8,Hello Jasmine,https://s3-media1.fl.yelpcdn.com/bphoto/V5hLn6lX6pBOCYbFMsI4gQ/o.jpg,False,https://www.yelp.com/biz/hello-jasmine-chicago-8?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,367,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.5,"{'latitude': 41.8548064874185, 'longitude': -87.630194313612}","['pickup', 'delivery']",$$,"{'address1': '2026 S Clark', 'address2': 'Unit C', 'address3': '', 'city': 'Chicago', 'zip_code': '60616', 'country': 'US', 'state': 'IL', 'display_address': ['2026 S Clark', 'Unit C', 'Chicago, IL 60616']}",+13129880920,(312) 988-0920,1540.8109393975344
SfPpG-v8K-t6tAr4USL-mw,vivi-bubble-tea-chicago,Vivi Bubble Tea,https://s3-media4.fl.yelpcdn.com/bphoto/RjoWTqw70PuI7gi_TaQXOQ/o.jpg,False,https://www.yelp.com/biz/vivi-bubble-tea-chicago?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,299,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.0,"{'latitude': 41.877308, 'longitude': -87.627432}","['pickup', 'delivery']",$,"{'address1': '333 S State St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60604', 'country': 'US', 'state': 'IL', 'display_address': ['333 S State St', 'Chicago, IL 60604']}",+13124311150,(312) 431-1150,1317.3834595934054
X4CsYKx-4BOiaUGa-FG5Zg,thai-spoon-and-sushi-chicago-2,Thai Spoon & Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/GfNZCQHWvksBDHZjzqwt4g/o.jpg,False,https://www.yelp.com/biz/thai-spoon-and-sushi-chicago-2?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,253,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",3.5,"{'latitude': 41.87425, 'longitude': -87.62548}","['pickup', 'delivery']",$$,"{'address1': '601 S Wabash Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60605', 'country': 'US', 'state': 'IL', 'display_address': ['601 S Wabash Ave', 'Chicago, IL 60605']}",+13124279470,(312) 427-9470,953.6748168796414
UA-IIIhG3uTzAITlw6HjjA,tsaôcaa-chicago-4,TSAôCAA,https://s3-media1.fl.yelpcdn.com/bphoto/EvUcaBBSt5bofuIoJS8ENA/o.jpg,False,https://www.yelp.com/biz/tsa%C3%B4caa-chicago-4?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,190,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'shavedice', 'title': 'Shaved Ice'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",4.0,"{'latitude': 41.8547124376889, 'longitude': -87.6303581989966}",['delivery'],$,"{'address1': '2026 South Clark St', 'address2': 'Unit G', 'address3': '', 'city': 'Chicago', 'zip_code': '60616', 'country': 'US', 'state': 'IL', 'display_address': ['2026 South Clark St', 'Unit G', 'Chicago, IL 60616']}",+13126249650,(312) 624-9650,1524.0566079161292
Hi2z31a7ynVqlfTax-NWDw,bingo-tea-chicago,Bingo Tea,https://s3-media4.fl.yelpcdn.com/bphoto/JNkdSqhkgcQ0a166ZP7Q2g/o.jpg,False,https://www.yelp.com/biz/bingo-tea-chicago?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,217,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.0,"{'latitude': 41.85362, 'longitude': -87.63412}","['pickup', 'delivery']",$$,"{'address1': '2150 A S Archer Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60616', 'country': 'US', 'state': 'IL', 'display_address': ['2150 A S Archer Ave', 'Chicago, IL 60616']}",+13123286668,(312) 328-6668,1797.3811760545204
6D1v1lSjmXEXAsOp3eGxMQ,elitea-chicago-3,Elitea,https://s3-media4.fl.yelpcdn.com/bphoto/uvLWtfvQzhH_ygGd_KjHIw/o.jpg,False,https://www.yelp.com/biz/elitea-chicago-3?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,160,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'tea', 'title': 'Tea Rooms'}]",4.0,"{'latitude': 41.85505, 'longitude': -87.63219}","['pickup', 'delivery']",$,"{'address1': '2002 S Wentworth Ave', 'address2': 'Ste B09', 'address3': None, 'city': 'Chicago', 'zip_code': '60616', 'country': 'US', 'state': 'IL', 'display_address': ['2002 S Wentworth Ave', 'Ste B09', 'Chicago, IL 60616']}",+13124689909,(312) 468-9909,1570.4026996430932
rVRMpovx68BZXTLedFwB5Q,wentworth-seafood-house-chicago-3,Wentworth Seafood House,https://s3-media2.fl.yelpcdn.com/bphoto/jDeWCNwQh64sULyNRU6EuA/o.jpg,False,https://www.yelp.com/biz/wentworth-seafood-house-chicago-3?adjust_creative=RLuKW7YaIzixmdmfMytong&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RLuKW7YaIzixmdmfMytong,120,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cantonese', 'title': 'Cantonese'}]",4.0,"{'latitude': 41.852301277333, 'longitude': -87.631848673597}","['pickup', 'delivery']",$$,"{'address1': '2229 S Wentworth Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60616', 'country': 'US', 'state': 'IL', 'display_address': ['2229 S Wentworth Ave', 'Chicago, IL 60616']}",+13128080899,(312) 808-0899,1817.847888712692
